,Saldo BRL,Saldo Coin,Moeda,Timestamp,Operação
0,92.16564733339453,4.605267006842835e-05,BTC,1624457730,compra
1,92.16564733340363,4.450474247978855e-05,BTC,1624457760,venda
2,85.01239581808797,8.655325860859054e-05,BTC,1624457770,compra
3,85.01239581810489,8.367106699747237e-05,BTC,1624457780,venda
4,85.0123958181215,8.083915513301566e-05,BTC,1624457790,venda
5,85.01239581814484,7.68543545095535e-05,BTC,1624457800,venda
6,85.01239581823761,6.0900695319465094e-05,BTC,1624457850,venda
7,44.02042385368998,0.0003009324635957749,BTC,1624457860,compra
8,39.017458455009404,0.0003302753680911481,BTC,1624458000,compra
9,39.01745845510205,0.000314453507594311,BTC,1624458010,venda
10,34.663368785437186,0.000339990686959701,BTC,1624458040,compra
11,34.663368785532356,0.0003237385650073823,BTC,1624458050,venda
12,30.803776531415284,0.00034637546187305597,BTC,1624458080,compra
13,30.803776531508245,0.0003305014759053038,BTC,1624458090,venda
14,27.515505241892786,0.00034978751179596564,BTC,1624458130,compra
15,27.51550524198634,0.00033381215573249445,BTC,1624458143,venda
16,24.588701481858696,0.00035097814006171673,BTC,1624458203,compra
17,24.588701481952413,0.00033497478643138636,BTC,1624458223,venda
18,21.976981652182072,0.00035029277027245724,BTC,1624458233,compra
19,21.97698165227538,0.00033435977767077527,BTC,1624458263,venda
